"gene_id","cluster","betweenness","degree_centrality"
"TRPV6","2",0,1
"TSPAN33","2",0,1
"UBASH3B","2",0,1
"UBE2T","2",0,1
"ULBP3","2",0,1
"UNC5A","2",0,1
"UPK3B","2",0,1
"UQCRFS1","2",0,1
"USP18","2",0,1
"VDR","2",0,1
"VGLL1","2",0,1
"WDR62","2",0,1
"WNT10A","2",0,1
"WNT11","2",0,1
"WNT7B","2",0,1
"ZBP1","2",0,1
"ACOT4","3",0,1
"ST6GALNAC5","3",0,1
"AIMP2","4",0,1
"MARS2","4",0,1
"ALG3","6",0,1
"KLHL14","6",0,1
"ALOX5","7",0,1
"ALOX5AP","7",0,1
"CKMT1A","8",0,1
"CKMT1B","8",0,1
"ATP10B","9",0,1
"TMEM30B","9",0,1
"BCAT1","10",0,1
"IL4I1","10",0,1
"BICDL2","11",0,1
"MYCL","11",0,1
"SYNE4","11",0,1
"FBN3","12",0,1
"GREM1","12",0,1
"KCP","12",0,1
"MFAP5","12",0,1
"BOP1","13",0,1
"GNL3L","13",0,1
"C4orf48","14",0,1
"NELL2","14",0,1
"CD180","15",0,1
"LY86","15",0,1
"CDK2AP1","16",0,1
"CDK2AP2","16",0,1
"CHAC1","17",0,1
"CHAC2","17",0,1
"CHST4","18",0,1
"CHST6","18",0,1
"CKAP2","19",0,1
"CLIC3","20",0,1
"MAPK15","20",0,1
"CMPK2","21",0,1
"DCTPP1","21",0,1
"CYP2J2","22",0,1
"CYP4F3","22",0,1
"DARS2","23",0,1
"FAAH2","23",0,1
"DNAH3","24",0,1
"DNAH5","24",0,1
"DYRK1B","25",0,1
"TROAP","25",0,1
"EGFL6","26",0,1
"HDGF","26",0,1
"ENHO","27",0,1
"GPR19","27",0,1
"EYA4","28",0,1
"SIX4","28",0,1
"FAM167A","29",0,1
"MZB1","29",0,1
"FAM3B","30",0,1
"FUT3","30",0,1
"FBXL16","31",0,1
"FBXL18","31",0,1
"FUT1","32",0,1
"FUT2","32",0,1
"GRHL1","33",0,1
"GRHL2","33",0,1
"IDO1","34",0,1
"TDO2","34",0,1
"JCHAIN","35",0,1
"PIGR","35",0,1
"KCNK12","36",0,1
"KCNK15","36",0,1
"KREMEN2","37",0,1
"LAPTM4B","38",0,1
"LAPTM5","38",0,1
"MGST1","39",0,1
"MGST2","39",0,1
"MPZL2","40",0,1
"MPZL3","40",0,1
"MYO5B","41",0,1
"RAB25","41",0,1
"NETO2","42",0,1
"SLC12A5","42",0,1
"P2RY2","43",0,1
"P2RY6","43",0,1
"PCP4","44",0,1
