"","external_gene_name","logFC"
"625","TMEM220",-1.30681966630651
"626","ZFTA",1.13484698269174
"627","CERKL",2.39773373493627
"628","IER5L",2.61786659244519
"629","H2AX",1.81145880623169
"630","CFAP54",3.19299443555276
"631","PARVB",1.24553132862599
"632","FSIP2",-1.6569157580111
"633","ANKDD1B",-1.54333769459321
"634","FAM111B",1.36356435464107
"635","SP6",1.30428899542283
"636","CLDN4",1.53790379375603
"637","CXCL17",-2.24256375433166
"638","S100A4",2.60827156303773
"639","SLC6A9",1.73762050086821
"640","MME",2.6321286991768
"641","XRCC2",1.51248749164196
"642","UGT2B15",-2.44994474443124
"643","COL27A1",-1.09304410161938
"644","H2AC13",1.68490399771762
"645","H2AC11",1.78676970959634
"646","ARID5A",1.20091008266376
"647","H2BC26",2.0215443424405
"648","PDLIM7",1.52958324919982
"649","H3C12",2.0029937537752
"650","BLM",1.05102832151091
"651","UAP1L1",1.49826448154309
"652","OGDHL",2.34797676230225
"653","FAM177B",-1.79297774275235
"654","DPP4",3.50696785597627
"655","NMB",1.1766759233293
"656","CFAP43",2.05615691175114
"657","ATAD3A",1.20376525246287
"658","GPAA1",1.34507623281026
"659","H2BC12",1.1262710491504
"660","TEAD4",1.5950209164224
"661","GOLGA6L9",-1.06283524293855
"662","SIRPA",1.35533985004984
"663","SULT1C2",-1.60226882683665
"664","NRARP",1.75298576169889
"665","B3GNT6",-2.14289213757548
"666","RYR2",1.97705885170885
"667","MTCO3P12",-2.33859967997452
"668","ARHGAP11A",1.09963611904292
"669","PRC1",1.45568791902902
"670","MFAP3L",2.63384225868369
"671","TGM2",1.90068089332196
"672","RNU5E-1",1.5875477306436
"673","SNORA23",-1.18712596939904
"674","CAPN8",-1.57725019892404
"675","MIR29B2CHG",-1.54478652717895
"676","CENPW",1.25669996853414
"677","H2BC18",1.29439193051378
"678","PRSS1",-4.2329379719076
"679","SNORA72",-1.1177043863259
"680","SNORA14B",-1.14181148739987
"681","RNU1-4",-1.30249754119993
"682","SNORD15B",-1.13302073062867
"683","SNORA74B",-1.30750783762753
"684","SNORA53",-1.11658794564207
"685","KLHL23",1.04593413598994
"686","SH3D21",1.36979842438285
"687","TUBA5P",1.40843979249975
"688","CRPPA",-1.4883880814011
"689","MUC5AC",-2.61205317771907
"690","RNU6ATAC",2.13736873306195
"691","PLXNA4",2.48330602757402
"692","CEBPD",1.73439981268236
"693","NPTXR",1.80684558507313
"694","SNORA79B",-1.08912115035159
"695","C4B",1.99807005844677
"696","POT1-AS1",-1.35416846733139
"697","LHFPL3-AS2",2.72345970846499
"698","LINC01504",-1.12870364591961
"699","RALGAPA1P1",1.14294030365508
"700","LINC00665",1.96949756793498
"701","LINC00342",-2.65214247350843
