"","node_1","node_2","score"
"204","H2AC8","H2AC14",0.937
"428","H2AC8","H3C10",0.946
"1006","H2AC8","H2BC11",0.985
"220","H2AC8","H3C13",0.974
"1341","H2AC8","H3C11",0.946
"304","H2AC8","H2AC13",0.9
"623","H2AC8","KIF20A",0.457
"386","H2AC8","NR5A2",0.499
"292","H2AC8","H2BC12",0.977
"531","H2AC8","H2BC13",0.511
"324","H2AC8","H3C12",0.994
"547","H2AC8","H2AC12",0.9
"182","H2AC8","H2BC4",0.635
"143","H2AC8","CBX2",0.63
"632","CDC25A","CDK1",0.494
"936","H2AC8","H2BC18",0.553
"452","H2AC8","ORC1",0.526
"1133","H2AC8","UHRF1",0.499
"1494","CDC25A","NOTCH1",0.48
"1483","RAC3","ESPN",0.72
"1083","H2AC8","H4C1",0.977
"179","CDC25A","CDC25C",0.9
"812","CDC25A","BRCA1",0.665
"703","CDC25A","CHEK1",0.608
"736","SHCBP1","RACGAP1",0.673
"272","RAC3","PDLIM7",0.54
"866","RAC3","IL32",0.547
"911","RAC3","SLC1A5",0.543
"244","SHCBP1","CENPA",0.6
"1333","CBX2","H3C11",0.9
"291","CBX2","H2BC12",0.499
"999","CBX2","H2BC11",0.499
"435","CBX2","H3C10",0.9
"218","CBX2","H3C13",0.987
"1167","CBX2","H3C1",0.939
"280","CBX2","UBE2C",0.9
"439","CBX2","TTK",0.459
"1457","CBX2","RAD51",0.72
"959","CBX2","MSMB",0.476
"1313","CBX2","H2BC3",0.63
"407","CBX2","H2BC21",0.574
"201","CBX2","H2AC14",0.499
"1047","CBX2","H2BC14",0.499
"1400","CBX2","H2BC15",0.499
"888","CBX2","H2AX",0.596
"490","CBX2","CDC20",0.54
"537","CBX2","H2BC13",0.499
"835","CBX2","BRCA1",0.9
"330","CBX2","H3C12",0.988
"700","MZT2A","MZT2B",0.812
"823","MZT2A","BRCA1",0.72
"794","CLSPN","MCM10",0.883
"183","CBX2","H2BC4",0.646
"1023","CBX2","H2BC17",0.499
"710","CLSPN","CDC7",0.74
"447","CLSPN","ORC1",0.499
"367","AURKB","CENPF",0.588
"680","CLSPN","MUC16",0.4
"802","CLSPN","BRCA1",0.457
"746","CLSPN","CDC45",0.965
"705","CLSPN","CHEK1",0.998
"1163","ATAD5","H3C1",0.422
"726","AURKB","RACGAP1",0.777
"512","AURKB","CDCA8",0.998
"238","AURKB","CENPA",0.694
"278","AURKB","UBE2C",0.406
"496","AURKB","CDC20",0.81
"234","AURKB","KNL1",0.583
"1162","AURKB","H3C1",0.487
"476","AURKB","KIF2C",0.711
"389","AURKB","ASPM",0.536
"637","AURKB","CDK1",0.851
"607","AURKB","KIF20A",0.722
"274","P3H2","COL27A1",0.499
"320","CHAF1B","H3C12",0.582
"1152","CHAF1B","H3C1",0.457
"571","CYC1","ATAD3A",0.407
"359","SKA3","CENPF",0.9
"572","SPTBN5","NRCAM",0.499
"867","SPTBN5","SPTBN2",0.9
"661","CDC25C","CDK1",0.911
"706","CDC25C","CHEK1",0.697
"242","H2BC4","CENPA",0.899
"446","H2BC4","ORC1",0.547
"884","H2BC4","H2AX",0.586
"1129","H2BC4","UHRF1",0.517
"323","H2BC4","H3C12",0.948
"1028","H2BC4","H2BC17",0.887
"427","H2BC4","H3C10",0.807
"937","H2BC4","H2BC18",0.8
"994","H2BC4","H2BC11",0.4
"309","H2BC4","H2AC13",0.989
"384","H2BC4","NR5A2",0.499
"298","H2BC4","H2BC12",0.4
"1342","H2BC4","H3C11",0.807
"1259","H2BC4","H2AC15",0.936
"548","H2BC4","H2AC12",0.439
"662","H2BC4","CENPK",0.8
"1109","H2BC4","H4C4",0.908
"1425","H2BC4","H2BC6",0.9
"1064","H2BC4","H4C1",0.908
"217","H2BC4","H3C13",0.949
"400","H2BC4","CENPW",0.8
"918","H2BC4","H2BC8",0.9
"530","H2BC4","H2BC13",0.4
"311","H2BC4","H2AC11",0.936
"409","H2BC4","H2BC21",0.937
"807","H2BC4","BRCA1",0.688
"1149","H2BC4","H3C1",0.807
"286","H2BC4","H2BC7",0.917
"210","H2BC4","H2AC21",0.439
"199","H2BC4","H2AC14",0.439
"567","H2BC4","H2BC10",0.9
"1055","H2BC4","H2BC14",0.874
"1192","H2BC4","H4C13",0.908
"1289","H2BC4","H2AC16",0.936
"1474","H2BC4","RAD51",0.499
"1401","H2BC4","H2BC15",0.874
"1417","H2BC4","PHF19",0.499
"268","E2F7","E2F1",0.402
"504","H2BC4","CENPI",0.801
"1296","H2BC4","H2BC3",0.874
"521","SPAG5","SPAG4",0.548
"650","SPAG5","CDK1",0.459
"763","SPAG5","TOP2A",0.441
"404","KIF15","MKI67",0.483
"719","KIF15","KIFC1",0.54
"899","KIF15","KIF1A",0.54
"967","KIF15","KIF18B",0.54
"475","KIF15","KIF2C",0.54
